#;TITLE;TYPE;COUNTRY;RELEASE;GENRE;COMPANY;VALUE
133;"Secrets of the Saqqara Tomb";Movie;"United States";2020-10-28;Documentary;Netflix;3465
134;"Queen of the South";TV;"United States";2016-06-23;Drama;"USA Network";3437
135;"An Easy Girl";Movie;France;2019-08-28;Comedy;;3424
136;"Blood of Zeus";TV;"United States";2020-10-27;Animation;Netflix;3377
137;Ava;Movie;"United States";2020-07-02;Thriller;"Vertical Entertainment";3359
138;"The Witcher";TV;"United States";2019-12-20;Fantasy;Netflix;3306
139;"Love. Wedding. Repeat";Movie;"United Kingdom";2020-04-10;Comedy;Netflix;3281
140;"Despicable Me";Movie;"United States";2010-07-09;Animated;"Universal Pictures";3270
141;"Alice in Borderland";TV;Japan;2020-12-10;"Science Fiction";Netflix;3239
142;Santana;Movie;Angola;2020-08-28;Action;;3239
143;"A Babysitter's Guide to Monster Hunting";Movie;"United States";2020-10-14;Adventure;Netflix;3215
144;"The Secret: Dare to Dream";Movie;"United States";2020-04-16;Drama;;3190
145;"The Half of It";Movie;"United States";2020-05-01;Comedy;Netflix;3185
146;"La Révolution";TV;France;2020-10-16;Drama;Netflix;3165
147;"Johnny English Strikes Again";Movie;"United Kingdom";2018-09-13;Comedy;"Universal Pictures";3158
148;"Big Mouth";TV;"United States";2017-09-29;Animation;Netflix;3144
149;"Money Heist: The Phenomenon";Movie;Spain;2020-04-03;Documentary;Netflix;2980
150;"The Call";Movie;"South Korea";2020-11-27;Thriller;Netflix;2971
151;"Fifty Shades Freed";Movie;"United States";2018-02-07;Romance;"Universal Pictures";2942
152;Hoops;TV;"United States";2020-08-21;Animation;Netflix;2889
153;Aquaman;Movie;"United States";2018-12-07;Superhero;"Warner Bros. Pictures";2887
154;"The Rain";TV;Denmark;2018-05-04;"Science Fiction";Netflix;2883
155;"Da 5 Bloods";Movie;"United States";2020-06-12;Drama;Netflix;2878
156;"Pets United";Movie;Germany;2019-11-08;Animated;Netflix;2856
157;"El Dragón: Return of a Warrior";TV;Mexico;2019-10-04;Action;Netflix;2855
158;"Instant Family";Movie;"United States";2018-11-16;Comedy;"Closest to the Hole Productions";2850
159;"How to Sell Drugs Online (Fast)";TV;Germany;2019-05-31;Comedy;Netflix;2846
160;Venom;Movie;"United States";2018-10-03;Superhero;"Sony Pictures";2788
161;"Harry Potter and the Philosopher's Stone";Movie;"United Kingdom";2001-11-16;Fantasy;"Warner Bros. Pictures";2788
162;"Mystic Pop-Up Bar";TV;"South Korea";2020-05-20;Mystery;Netflix;2785
163;"Malibu Rescue: The Next Wave";Movie;"United States";2020-08-04;Comedy;Netflix;2760
164;"Miracle in Cell No. 7";Movie;Turkey;2019-10-10;Drama;"Viva Films";2760
165;"BLACKPINK: Light Up the Sky";Movie;"United States";2020-10-14;Documentary;Netflix;2730
166;"Family Guy";TV;"United States";1999-01-31;Animation;"FOX TV";2720
167;"The Last Kingdom";TV;"United Kingdom";2015-10-10;History;Netflix;2713
168;"The Business of Drugs";TV;"United States";2020-07-14;Documentary;Netflix;2701
169;"Young Wallander";TV;Sweden;2020-09-03;Crime;Netflix;2691
170;Trinkets;TV;"United States";2019-06-14;Drama;Netflix;2691
171;"Fear City: New York vs The Mafia";TV;"United States";2020-07-22;Documentary;Netflix;2665
172;"Grizzy & the Lemmings";TV;France;2016-11-07;Animation;;2659
173;"Alien Worlds";TV;"United Kingdom";2020-12-02;Documentary;Netflix;2655
174;"If Anything Happens I Love You";Movie;"United States";2020-11-20;Animated;Netflix;2649
175;"Time Trap";Movie;"United States";2017-05-19;"Science Fiction";;2640
176;Freud;TV;Austria;2020-03-15;Drama;Netflix;2638
177;"Furious 7";Movie;"United States";2015-04-03;Action;"Universal Pictures";2627
178;"Freaks – You're One of Us";Movie;Germany;2020-09-02;Superhero;Netflix;2580
179;"Stolen Away";TV;Spain;2020-01-14;Drama;;2568
180;"Code 8";Movie;Canada;2019-12-06;"Science Fiction";;2568
181;"Bimilui Soop";TV;"South Korea";2017-06-10;Crime;;2567
182;Baby;TV;Italy;2018-11-30;Drama;Netflix;2541
183;"Grey's Anatomy";TV;"United States";2005-03-27;Drama;ABC;2527
184;"Animal Crackers";Movie;"United States";2018-06-07;Animated;;2517
185;"Into the Night";TV;Belgium;2020-05-01;;Netflix;2502
186;"A Million Ways to Die in the West";Movie;"United States";2014-05-30;Comedy;"Media Rights Capital";2487
187;"Dad Wanted";Movie;Mexico;2020-09-11;Comedy;Netflix;2480
188;"The World of the Married";TV;"South Korea";2020-03-27;Drama;;2479
189;"The Equalizer 2";Movie;"United States";2018-07-19;Action;"Sony Pictures";2468
190;"Justice League";Movie;"United States";2017-11-15;Superhero;"Warner Bros. Pictures";2448
191;"Rose Island";Movie;Italy;2020-12-09;Comedy;Netflix;2395
192;"The Meg";Movie;"United States";2018-08-10;Horror;"Warner Bros. Pictures";2383
193;"Deadly Class";TV;"United States";2019-01-16;Superhero;"Sony Pictures Television";2370
194;"Get Organized with The Home Edit";TV;"United States";2020-09-09;Reality-Show;Netflix;2365
195;"The Purge: Anarchy";Movie;"United States";2014-07-17;Horror;"Universal Pictures";2336
196;"Dirty John";TV;"United States";2018-11-25;Drama;Netflix;2335
197;"The Great Heist";TV;Colombia;2020-08-14;Crime;Netflix;2320
198;"The Flash";TV;"United States";2014-10-07;Superhero;CW;2318
199;Vikings;TV;Ireland;2013-03-03;History;"History TV";2316
200;"The Life Ahead";Movie;Italy;2020-11-13;Drama;Netflix;2312
201;"Midnight at the Magnolia";Movie;Canada;2020-11-05;Comedy;;2305
202;"Just Another Christmas";Movie;Brazil;2020-12-03;Comedy;"Good Films";2301
203;"Night School";Movie;"United States";2018-09-27;Comedy;;2293
204;Biohackers;TV;Germany;2020-08-20;Drama;Netflix;2290
205;"Coffee & Kareem";Movie;"United States";2020-04-03;Comedy;Netflix;2268
206;"Private Lives";TV;"South Korea";2020-10-07;Crime;Netflix;2251
207;"Seriously Single";Movie;"South Africa";2020-07-31;Comedy;Netflix;2251
208;Suits;TV;"United States";2011-06-23;Drama;"USA Network";2237
209;"The F**k-It List";Movie;"United States";2020-07-01;Comedy;"Awesomeness Films";2208
210;"The Barrier";TV;Spain;2020-09-11;"Science Fiction";;2206
211;"Home for Christmas";TV;Norway;2019-12-05;Comedy;Netflix;2203
212;"American Assassin";Movie;"United States";2017-09-14;Action;;2185
213;"Murder Mystery";Movie;"United States";2019-06-14;Comedy;Netflix;2182
214;Focus;Movie;"United States";2015-02-27;Crime;"Warner Bros. Pictures";2180
215;"The Boss Baby: Get That Baby!";Movie;"United States";2020-09-01;Animated;"Zero Point Zero";2174
216;"Hotel Transylvania 3: Summer Vacation";Movie;"United States";2018-07-12;Animated;"Square Enix";2169
217;"The Star";Movie;"United States";2017-11-15;Animated;"Sony Pictures";2159
218;"Mortal Engines";Movie;"United States";2018-11-27;"Science Fiction";"Universal Pictures";2156
219;"Spider-Man: Homecoming";Movie;"United States";2017-07-05;Superhero;"Sony Pictures";2152
220;"The Ripper";TV;"United Kingdom";2020-12-16;Documentary;Netflix;2138
221;"You've Got This";Movie;Mexico;2020-10-02;Comedy;Netflix;2113
222;"In the Heart of the Sea";Movie;"United States";2015-12-03;Drama;"Warner Bros. Pictures";2108
223;"Christmas Made to Order";Movie;"United States";2018-12-23;Romance;"Hallmark Entertainment";2097
224;"Sweet Magnolias";TV;"United States";2020-05-19;Drama;Netflix;2079
225;"Itaewon Class";TV;"South Korea";2020-01-31;Drama;Netflix;2073
226;"Control Z";TV;Mexico;2020-05-22;Drama;Netflix;2062
227;"Brooklyn Nine-Nine";TV;"United States";2013-09-17;Comedy;NBC;2047
228;Ludo;Movie;India;2020-11-12;Comedy;;2040
229;"Spider-Man: Into the Spider-Verse";Movie;"United States";2018-12-07;Superhero;"Sony Pictures";2019
230;"Selling Sunset";TV;"United States";2019-03-22;Reality-Show;Netflix;2008
231;Bumblebee;Movie;"United States";2018-12-15;"Science Fiction";"Paramount Pictures";2006
232;"High Score";TV;"United States";2020-08-19;Documentary;Netflix;2004
233;Paranormal;TV;Egypt;2020-11-05;Horror;Netflix;1992
234;"The End of Paradise";TV;"United States";2019-08-13;Crime;;1970
235;"Spenser Confidential";Movie;"United States";2020-03-06;Crime;Netflix;1961
236;"History 101";TV;"United Kingdom";2020-05-22;Documentary;Netflix;1930
237;"The Alienist";TV;"United States";2018-01-22;Crime;"Warner Bros. Television";1897
238;Rampage;Movie;"United States";2018-04-19;Adventure;"Warner Bros. Pictures";1889
239;"Mission: Impossible - Fallout";Movie;"United States";2018-07-13;Action;Paramount;1882
240;"The Holiday";Movie;"United States";2006-12-08;Romance;"Sony Pictures";1859
241;"ariana grande: excuse me, i love you";Movie;"United States";2020-12-21;Concerts;Netflix;1855
242;"The Princess Switch";Movie;"United States";2018-11-16;Romance;Netflix;1850
243;"Jane the Virgin";TV;"United States";2014-10-13;Comedy;;1847
244;"Don't Listen";Movie;Spain;2020-11-27;Horror;Netflix;1838
245;"Harry Potter and the Chamber of Secrets";Movie;"United Kingdom";2002-11-03;Fantasy;"Warner Bros. Pictures";1808
246;"The Walking Dead";TV;"United States";2010-10-31;Horror;AMC;1795
247;"The First Purge";Movie;"United States";2018-07-04;Horror;;1793
248;"Better Call Saul";TV;"United States";2015-02-08;Crime;AMC;1784
249;Geostorm;Movie;"United States";2017-10-13;Thriller;;1781
250;"Safe House";Movie;"United States";2012-02-10;Thriller;"Universal Pictures";1778
251;"The Main Event";Movie;"United States";2020-04-10;Comedy;Netflix;1750
252;"The Baby-Sitters Club";TV;"United States";2020-07-03;Comedy;Netflix;1725
253;"Bad Boys for Life";Movie;"United States";2020-01-16;Action;"Sony Pictures";1712
254;"Double World";Movie;Hong-Kong;2019-11-22;Action;"Great Earth Film Company";1710
255;Parker;Movie;"United States";2013-01-25;Crime;;1709
256;"Kärlek & Anarki";TV;Sweden;2020-11-04;Drama;Netflix;1707
257;"Schitt's Creek";TV;Canada;2015-01-13;Comedy;;1705
258;Valeria;TV;Spain;2020-05-08;Drama;Netflix;1704
259;"All Together Now";Movie;"United States";2020-08-28;Drama;Netflix;1699
260;"Jumanji: The Next Level";Movie;"United States";2019-12-04;Adventure;"Sony Pictures";1684
261;"A Suitable Boy";TV;"United Kingdom";2020-07-26;Drama;;1661
262;Hollywood;TV;"United States";2020-05-01;Drama;Netflix;1659
263;"A Star is Born";Movie;"United States";2018-05-16;Drama;MGM;1645
264;Undercover;TV;Belgium;2019-02-24;Crime;Netflix;1643
265;Tammy;Movie;"United States";2014-07-03;Comedy;;1612
266;"Anne with an E";TV;Canada;2017-03-19;Drama;Netflix;1608
267;"The Gift";TV;Turkey;2019-12-27;Mystery;Netflix;1607
268;"The Woods";TV;Poland;2020-06-12;Crime;Netflix;1602
269;"Hillbilly Elegy";Movie;"United States";2020-11-24;Drama;Netflix;1602
270;Siberia;Movie;"United States";2018-07-13;Crime;"Company Films";1598
271;"Behzat Ç.";TV;Turkey;2010-09-19;Crime;;1594
272;Intuition;Movie;Argentina;2020-05-28;Crime;Netflix;1592
273;"A Simple Favor";Movie;"United States";2018-09-13;Crime;;1591
274;"Earth and Blood";Movie;France;2020-04-17;Action;Netflix;1584
275;"Chica Vampiro";TV;Colombia;2013-05-14;"Science Fiction";;1583
276;"Sex Education";TV;"United States";2019-01-11;Comedy;Netflix;1574
277;"The Uncanny Counter";TV;"South Korea";2020-11-28;Fantasy;;1563
278;"Escape Plan";Movie;"United States";2013-11-13;Action;"Summit Entertainment";1563
279;"Teenage Bounty Hunters";TV;"United States";2020-08-14;Comedy;Netflix;1554
280;Bloodshot;Movie;"United States";2020-02-20;"Science Fiction";"Sony Pictures";1533
281;"Pacific Rim: Uprising";Movie;"United States";2018-03-21;"Science Fiction";"Universal Pictures";1523
282;Lucy;Movie;"United States";2014-07-25;Action;"Universal Pictures";1519
283;"Baby Driver";Movie;"United States";2017-06-28;Action;"Sony Pictures";1517
284;"Do Do Sol Sol La La Sol";TV;"South Korea";2020-10-07;Comedy;Netflix;1507
285;"The Good Place";TV;"United States";2016-09-19;Comedy;NBC;1500
286;Cadaver;Movie;Norway;2020-10-22;Horror;Netflix;1489
287;"Nobody Sleeps In The Woods Tonight";Movie;Poland;2020-10-28;Horror;Netflix;1477
288;"Cinderela Pop";Movie;Brazil;2019-02-28;Comedy;"Good Films";1476
